Id,File_name,Rating,Participant,Real_rating,Result
0,,4,Alejandra,3,0
1,,3,Alejandra,4,0
2,,3,Alejandra,2,0
3,,3,Alejandra,2,0
4,,2,Alejandra,5,0
5,,4,Alejandra,5,0
6,,2,Alejandra,3,0
7,,3,Alejandra,5,0
8,,0,Alejandra,0,1
9,,2,Alejandra,3,0
10,,3,Alejandra,5,0
11,,4,Alejandra,4,1
12,,5,Alejandra,3,0
13,,3,Alejandra,4,0
14,,3,Alejandra,4,0
15,,1,Alejandra,1,1
16,,3,Alejandra,4,0
17,,4,Alejandra,5,0
18,,-1,Alejandra,-1,1
19,,4,Alejandra,4,1
20,,0,Alejandra,0,1
21,,-1,Alejandra,-1,1
22,,2,Alejandra,2,1
23,,3,Alejandra,5,0
24,,-1,Alejandra,-1,1
25,,4,Alejandra,5,0
26,,2,Alejandra,3,0
27,,2,Alejandra,2,1
28,,3,Alejandra,2,0
29,,1,Alejandra,1,1
30,,3,Alejandra,4,0
31,,1,Alejandra,1,1
32,,0,Alejandra,-1,0
33,,1,Alejandra,1,1
34,,-1,Alejandra,-1,1
35,,3,Alejandra,4,0
36,,-1,Alejandra,-1,1
37,,4,Alejandra,3,0
38,,5,Alejandra,2,0
39,,4,Alejandra,3,0
40,,0,Alejandra,0,1
41,,-1,Alejandra,-1,1
42,,0,Alejandra,0,1
43,,5,Alejandra,3,0
44,,-1,Alejandra,-1,1
45,,5,Alejandra,2,0
46,,1,Alejandra,1,1
47,,3,Alejandra,2,0
48,,3,Alejandra,2,0
49,,4,Alejandra,4,1
50,,0,Alejandra,0,1
51,,0,Alejandra,0,1
52,,2,Alejandra,2,1
53,,3,Alejandra,3,1
54,,4,Alejandra,4,1
55,,-1,Alejandra,-1,1
56,,4,Alejandra,5,0
57,,3,Alejandra,3,1
58,,-1,Alejandra,-1,1
59,,5,Alejandra,5,1
60,,0,Alejandra,0,1
61,,5,Alejandra,5,1
62,,3,Alejandra,3,1
63,,4,Alejandra,2,0
64,,-1,Alejandra,-1,1
65,,5,Alejandra,5,1
66,,3,Alejandra,3,1
67,,1,Alejandra,1,1
68,,3,Alejandra,2,0
69,,1,Alejandra,1,1
70,,4,Alberto,4,1
71,,4,Alberto,5,0
72,,0,Alberto,-1,0
73,,5,Alberto,5,1
74,,-1,Alberto,0,0
75,,3,Alberto,2,0
76,,3,Alberto,4,0
77,,2,Alberto,4,0
78,,3,Alberto,2,0
79,,2,Alberto,5,0
80,,4,Alberto,2,0
81,,2,Alberto,3,0
82,,-1,Alberto,-1,1
83,,2,Alberto,2,1
84,,-1,Alberto,-1,1
85,,0,Alberto,0,1
86,,1,Alberto,1,1
87,,-1,Alberto,0,0
88,,0,Alberto,0,1
89,,0,Alberto,0,1
90,,1,Alberto,1,1
91,,2,Alberto,4,0
92,,3,Alberto,3,1
93,,0,Alberto,0,1
94,,1,Alberto,1,1
95,,0,Alberto,0,1
96,,0,Alberto,0,1
97,,2,Alberto,4,0
98,,-1,Alberto,0,0
99,,2,Alberto,2,1
100,,1,Alberto,1,1
101,,-1,Alberto,-1,1
102,,2,Alberto,5,0
103,,2,Alberto,-1,0
104,,2,Alberto,0,0
105,,-1,Alberto,-1,1
106,,2,Alberto,3,0
107,,3,Alberto,4,0
108,,-1,Alberto,-1,1
109,,2,Alberto,5,0
110,,3,Alberto,4,0
111,,2,Alberto,1,0
112,,1,Alberto,1,1
113,,2,Alberto,4,0
114,,1,Alberto,1,1
115,,3,Alberto,5,0
116,,1,Alberto,1,1
117,,-1,Alberto,-1,1
118,,1,Alberto,1,1
119,,3,Alberto,5,0
120,,1,Alberto,1,1
121,,3,Alberto,2,0
122,,-1,Alberto,0,0
123,,2,Alberto,5,0
124,,3,Alberto,3,1
125,,0,Alberto,0,1
126,,3,Alberto,3,1
127,,3,Alberto,3,1
128,,4,Alberto,4,1
129,,5,Alberto,3,0
130,,1,Alberto,1,1
131,,2,Alberto,5,0
132,,3,Alberto,2,0
133,,-1,Alberto,-1,1
134,,3,Alberto,2,0
135,,4,Alberto,4,1
136,,0,Alberto,0,1
137,,1,Alberto,1,1
138,,3,Alberto,3,1
139,,1,Alberto,1,1
